S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2"
111,FRANKFURT,BENGALURU,25774,29625,2530.7,2951.5
112,FRANKFURT,CHENNAI,6394,7084,1696.6,259.2
113,FRANKFURT,DELHI,47161,55956,1567.7,2063.0
114,FRANKFURT,HYDERABAD,236,0,8.1,0.0
115,FRANKFURT,MUMBAI,25086,27421,4624.8,4571.8
116,GUANGZHOU,DELHI,0,0,2127.6,719.6
117,GUANGZHOU,MUMBAI,0,0,0.0,378.1
118,HAA DHAALU ATOLL,TRIVANDRUM,467,309,0.0,0.6
119,HANOI,DELHI,2991,3752,433.5,10.7
120,HANOI,KOLKATA,1144,1644,3.5,7.1
121,HELNSKI,DELHI,14837,18649,913.9,813.9
122,HO CHI MINH CITY,BENGALURU,0,0,1216.5,0.0
123,HO CHI MINH CITY,DELHI,2990,3755,8.8,13.1
124,HO CHI MINH CITY,KOLKATA,2253,2191,27.8,5.0
125,HONG KONG,BENGALURU,0,0,2509.0,904.7
126,HONG KONG,CHENNAI,0,0,7271.0,3566.8
127,HONG KONG,DELHI,4026,6336,15245.7,1933.7
128,HONG KONG,HYDERABAD,0,0,217.9,429.3
129,HONG KONG,KOLKATA,0,312,82.7,218.1
130,HONG KONG,MUMBAI,1541,1264,4406.7,3217.1
131,ISTANBUL,AHMEDABAD,0,0,373.6,825.1
132,ISTANBUL,BENGALURU,0,0,1839.0,1351.3
133,ISTANBUL,CHENNAI,0,0,1914.7,1417.5
134,ISTANBUL,DELHI,23614,27070,1822.3,2257.9
135,ISTANBUL,HYDERABAD,0,0,600.8,2122.2
136,ISTANBUL,MUMBAI,27077,31416,4978.2,3980.9
137,JEDDAH,BENGALURU,4669,3383,8.3,131.4
138,JEDDAH,CHENNAI,1067,1067,44.6,186.7
139,JEDDAH,DELHI,43423,48427,106.9,1430.3
140,JEDDAH,HYDERABAD,20460,16030,19.3,435.7
141,JEDDAH,KOCHI,18293,15092,228.2,572.2
142,JEDDAH,KOZHIKODE,24696,25077,3.6,59.5
143,JEDDAH,LUCKNOW,12246,12085,4.9,118.0
144,JEDDAH,MUMBAI,36445,47280,221.2,1058.0
145,KABUL,DELHI,3,64,0.0,1.2
146,KATHMANDU,DELHI,84711,79974,66.6,135.2
147,KATHMANDU,KOLKATA,5948,4665,0.2,3.4
148,KATHMANDU,MUMBAI,11318,10414,0.5,13.2
149,KATHMANDU,VARANASI,555,485,0.0,0.0
150,KIGALI,MUMBAI,2085,2968,0.0,0.0
