S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
411,AGARTALA,KOLKATA,335,294,629
412,AGARTALA,SHILLONG,8,7,15
413,BAGDOGRA,BENGALURU,143,123,266
414,BAGDOGRA,CHENNAI,54,47,101
415,BAGDOGRA,DELHI,357,340,697
416,BAGDOGRA,DIBRUGARH,35,25,60
417,BAGDOGRA,HYDERABAD,50,51,101
418,BAGDOGRA,KOLKATA,224,187,411
419,BAGDOGRA,MUMBAI,67,49,116
420,CHANDIGARH,CHENNAI,35,39,74
421,CHANDIGARH,DABOLIM,61,65,126
423,CHANDIGARH,DELHI,271,282,553
425,CHANDIGARH,DHARAMSALA,9,9,18
426,CHANDIGARH,GUWAHATI,12,13,25
427,CHANDIGARH,HYDERABAD,67,79,146
428,CHANDIGARH,JAIPUR,34,28,62
429,CHANDIGARH,KOLKATA,19,31,50
430,CHANDIGARH,KULLU,4,1,5
431,CHANDIGARH,LEH,5,13,18
432,CHANDIGARH,LUCKNOW,25,27,52
433,CHANDIGARH,MUMBAI,265,255,520
434,CHANDIGARH,PATNA,23,27,50
435,CHANDIGARH,PUNE,43,38,81
436,CHANDIGARH,SRINAGAR,85,96,181
438,ALLAHABAD,BENGALURU,15,15,30
439,ALLAHABAD,BHOPAL,6,6,12
440,ALLAHABAD,BHUBANESWAR,12,14,26
441,ALLAHABAD,BILASPUR,5,3,8
442,ALLAHABAD,DEHRA DUN,10,11,21
443,ALLAHABAD,DELHI,47,43,90
444,ALLAHABAD,GORAKHPUR,7,7,14
445,ALLAHABAD,INDORE,17,15,32
446,ALLAHABAD,LUCKNOW,10,8,18
447,ALLAHABAD,MUMBAI,30,30,60
448,ALLAHABAD,PUNE,18,17,35
449,ALLAHABAD,RAIPUR,16,16,32
450,MANGALORE,MUMBAI,202,198,400
452,BELGAUM,BENGALURU,21,20,41
453,BELGAUM,DELHI,23,23,46
454,BELGAUM,HYDERABAD,23,23,46
455,BELGAUM,INDORE,3,4,7
456,BELGAUM,JODHPUR,3,3,6
457,BELGAUM,MUMBAI,24,24,48
458,BELGAUM,NAGPUR,3,3,6
459,BELGAUM,NASIK,4,3,7
460,BELGAUM,PUNE,7,7,14
461,BELGAUM,SURAT,4,4,8
462,BELGAUM,TIRUPATI,3,3,6
463,JAMMU,LEH,18,24,42
464,JAMMU,MUMBAI,19,63,82
465,JAMMU,SRINAGAR,155,137,292
467,LEH,SRINAGAR,87,9,96
468,MADURAI,MUMBAI,66,65,131
469,MADURAI,TIRUPATI,9,8,17
470,MADURAI,VIJAYAWADA,2,1,3
471,PASIGHAT,TEZPUR,1,1,2
472,AURANGABAD,DELHI,53,51,104
473,AURANGABAD,HYDERABAD,22,21,43
474,AURANGABAD,MUMBAI,76,70,146
