S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
297,DELHI,LEH,237,127,364
298,DELHI,LUCKNOW,324,333,657
299,DELHI,MUMBAI,1480,1514,2994
300,DELHI,NAGPUR,141,164,305
301,DELHI,NASIK,4,4,8
302,DELHI,PAKYONG,16,13,29
303,DELHI,PANTNAGAR,2,2,4
304,DELHI,PATHANKOT,4,4,8
305,DELHI,PATNA,590,593,1183
306,DELHI,PORT BLAIR,47,36,83
307,DELHI,PUNE,691,678,1369
308,DELHI,RAIPUR,210,231,441
309,DELHI,RAJKOT,73,78,151
310,DELHI,RANCHI,322,342,664
311,DELHI,SHIRDI,39,36,75
312,DELHI,SILCHAR,11,7,18
313,DELHI,SRINAGAR,810,766,1576
314,DELHI,SURAT,168,179,347
315,DELHI,TIRUPATI,21,12,33
316,DELHI,TRIVANDRUM,57,71,128
317,DELHI,UDAIPUR,180,169,349
318,DELHI,VADODARA,113,147,260
319,DELHI,VARANASI,265,252,517
320,DELHI,VIJAYAWADA,72,78,150
321,DELHI,VISAKHAPATNAM,125,141,266
322,DELHI,Kushinagar International Airport,14,14,28
323,DIBRUGARH,GUWAHATI,14,12,26
324,DIBRUGARH,KOLKATA,71,66,137
325,DIBRUGARH,MUMBAI,4,3,7
326,DIBRUGARH,SHILLONG,3,3,6
327,DIMAPUR,GUWAHATI,8,4,12
328,DIMAPUR,HYDERABAD,19,1,20
329,DIMAPUR,IMPHAL,9,9,18
330,DIMAPUR,KOLKATA,45,29,74
331,DIMAPUR,MUMBAI,1,1,2
332,DIMAPUR,SHILLONG,2,1,3
333,DIU,MUMBAI,13,11,24
334,DURGAPUR,HYDERABAD,24,22,46
335,DURGAPUR,MUMBAI,18,17,35
336,GAYA,KOLKATA,8,7,15
337,GHAZIABAD,HUBLI,7,7,14
338,GHAZIABAD,"KALABURAGI, KARNATAKA",4,5,9
339,GORAKHPUR,HYDERABAD,34,34,68
340,GORAKHPUR,KOLKATA,8,8,16
341,GORAKHPUR,LUCKNOW,5,4,9
342,GORAKHPUR,MUMBAI,66,72,138
343,GUWAHATI,HYDERABAD,40,39,79
344,GUWAHATI,IMPHAL,111,108,219
345,GUWAHATI,JAIPUR,38,38,76
346,GUWAHATI,JODHPUR,19,1,20
347,GUWAHATI,JORHAT,3,7,10
348,GUWAHATI,KOLKATA,236,231,467
349,GUWAHATI,LILABARI,6,7,13
350,GUWAHATI,LUCKNOW,21,20,41
351,GUWAHATI,MUMBAI,46,47,93
352,GUWAHATI,PASIGHAT,3,4,7
353,GUWAHATI,PATNA,16,15,31
354,GUWAHATI,PUNE,2,19,21
355,GUWAHATI,RUPSI,8,8,16
356,GUWAHATI,SHILLONG,1,1,2
357,GUWAHATI,SILCHAR,15,21,36
358,GUWAHATI,TEZPUR,1,1,2
359,GUWAHATI,TEZU,3,5,8
